,Event,Time,X,Y
0,Poliwhirl,1548551485.24,17,9
1,Pikachu,1548551487.26,13,14
2,Pikachu,1548551489.38,15,8
3,Pikachu,1548551494.39,6,8
4,Spearow,1548551494.93,7,12
5,Pikachu,1548551496.14,9,5
6,Pikachu,1548551497.01,6,8
7,Pikachu,1548551498.3,5,11
8,Pikachu,1548551506.95,15,9
9,Pikachu,1548551509.08,5,11
10,Pikachu,1548551512.88,14,6
11,Pikachu,1548551515.54,12,5
12,Pikachu,1548551519.64,9,5
13,Pikachu,1548551522.18,11,15
14,Pikachu,1548551524.44,6,7
15,Pikachu,1548551525.95,10,15
16,Jigglypuff,1548551528.0,18,4
17,Nidorina,1548551528.12,19,4
18,Pikachu,1548551531.72,6,7
19,Pikachu,1548551534.07,15,12
20,Pikachu,1548551536.2,14,7
21,Pikachu,1548551539.7,15,11
22,Pikachu,1548551542.56,8,15
23,Pikachu,1548551545.14,7,6
24,Jigglypuff,1548551546.45,15,2
25,Pikachu,1548551548.1,14,12
26,Pikachu,1548551549.07,6,13
27,Pikachu,1548551551.22,7,6
