,Unnamed: 0,Event,Time,X,Y
0,0,Spearow,1548554740.71,8,12
1,1,Poliwhirl,1548554741.76,9,5
2,2,Jigglypuff,1548554742.0,9,3
3,3,Pikachu,1548554743.91,11,15
4,4,Nidorina,1548554745.71,12,9
5,5,Pikachu,1548554746.34,12,15
6,6,Spearow,1548554748.88,7,18
7,7,Poliwhirl,1548554749.86,16,18
8,8,Jigglypuff,1548554751.24,16,5
9,9,Poliwhirl,1548554751.25,16,5
10,10,Nidorina,1548554751.69,18,3
11,11,Jigglypuff,1548554752.65,18,10
12,12,Nidorina,1548554753.19,13,10
13,13,Pikachu,1548554754.5,14,7
14,14,Nidorina,1548554754.94,18,7
15,15,Nidorina,1548554756.74,17,9
16,16,Pikachu,1548554758.05,6,8
17,17,Nidorina,1548554759.96,16,6
18,18,Pikachu,1548554760.5,15,10
19,19,Jigglypuff,1548554762.85,4,3
20,20,Spearow,1548554764.04,4,14
21,21,Poliwhirl,1548554764.26,6,14
22,22,Spearow,1548554766.48,2,19
23,23,Nidorina,1548554766.71,2,17
24,24,Poliwhirl,1548554768.63,4,15
25,25,Pikachu,1548554770.95,10,5
26,26,Spearow,1548554773.6,9,17
27,27,Poliwhirl,1548554775.41,15,6
28,28,Pikachu,1548554776.6,6,8
29,29,Spearow,1548554777.8,6,19
30,30,Poliwhirl,1548554784.71,16,17
31,31,Spearow,1548554785.47,9,17
32,32,Nidorina,1548554786.96,5,7
33,33,Spearow,1548554788.24,1,15
34,34,Pikachu,1548554790.49,14,13
